Review,Sentiment,label
"Store space ok, gets crowded",Neutral,1
Store space is well utilised,Positive,2
Billing counter very organised today,Positive,2
Kids elastic holds well 👍,Positive,2
Cashier polite even at closing,Positive,2
Cashier was polite and quick,Positive,2
Store AC not working properly,Negative,0
Kids innerwear elastic too tight,Negative,0
Average service from staff today,Neutral,1
Billing ok for kids items,Neutral,1
Staff helped elderly customer nicely,Positive,2
Kids innerwear no rash at all,Positive,2
"Kids fabric average, does job",Neutral,1
"Cashier average, no complaints though",Neutral,1
Trial room lighting is very dim,Negative,0
Nobody to assist on floor,Negative,0
"Quick checkout, staff was grt",Positive,2
Kids elastic too loose here,Negative,0
"Mens range ok, nothing special",Neutral,1
Good space inside the store,Positive,2
Cashier asked rude questions tbh,Negative,0
Seating limited but acceptable,Neutral,1
"Billing ok, not very fast",Neutral,1
Wrong change given at counter,Negative,0
Store aisles very narrow tbh,Negative,0
Bra wires visible through fabric,Negative,0
Cashier did not give receipt,Negative,0
Bra shoulder straps not adjustable,Negative,0
Manager came late but sorted,Neutral,1
"Colour range ok, a bit dull",Neutral,1
Bra sizing completely off 😠,Negative,0
No maternity bra available 😞,Negative,0
Parking not available near store,Negative,0
Mens briefs quality is gr8,Positive,2
Billing amount wrong twice today 😡,Negative,0
"Parking ok, could be organised",Neutral,1
"Billing ok, not super fast",Neutral,1
Store very organised always,Positive,2
Poor mens innerwear collection,Negative,0
Bra underwire no poking 💯,Positive,2
No kids changing room available,Negative,0
"Trial room ok, mirror decent",Neutral,1
Store expansion required very badly,Negative,0
Kids innerwear smells chemical 😞,Negative,0
Bra quality acceptable for daily,Neutral,1
Mens waistband too stiff here,Negative,0
Store needs better air conditioning,Negative,0
Trial rooms are too small 😞,Negative,0
Staff ok for standard queries,Neutral,1
Store layout changes confuse customers,Negative,0
"Cashier ok, not very warm",Neutral,1
More seating needed in store,Negative,0
Gud mens waistband quality,Positive,2
Parking was easy to find,Positive,2
Stitching tight and clean 💯,Positive,2
"Seating available, not enough though",Neutral,1
Bra padding not symmetric tbh,Negative,0
Parking simple and no hassle,Positive,2
Mens innerwear waistband too thin,Negative,0
Mens fabric breathes well,Positive,2
"Fabric shrinks little, acceptable",Neutral,1
Staff guided whole family nicely,Positive,2
"Store ok, needs few upgrades",Neutral,1
Trial rooms no hooks at all,Negative,0
"Parking ok, not always smooth",Neutral,1
"Trial room ok, a bit small",Neutral,1
"Trial room ok, a bit dark",Neutral,1
"Billing accurate, no errors found",Positive,2
Cashier never smiled once,Negative,0
"Parking ok, not always available",Neutral,1
Cashier was fast and friendly,Positive,2
Mens section too cramped here,Negative,0
Store adequate for quick shopping,Neutral,1
Bra underwire sits well 💯,Positive,2
"Staff ok, nothing to complain",Neutral,1
Mens size chart completely wrong,Negative,0
Cashier snapped when questioned,Negative,0
"Kids briefs not tagless, itchy",Negative,0
Mens stitching uneven and poor,Negative,0
"Kids innerwear ok, nothing wow",Neutral,1
Store ambience is really nyc,Positive,2
Fabric quality excellent for price,Positive,2
Cashier took personal call while billing,Negative,0
"Parking uneven, cars scratch tbh",Negative,0
Trial rooms very poorly ventilated,Negative,0
Trial room floor always wet 😞,Negative,0
No family restroom in store,Negative,0
Manager unapproachable and dismissive 😤,Negative,0
"Average billing, seen better before",Neutral,1
Staff not trained for customer care,Negative,0
Cashier just ok tbh,Neutral,1
Billing error fixed immediately 😊,Positive,2
Store layout is very confusing,Negative,0
Trial rooms good mirrors and light,Positive,2
"Store clean, nice to shop",Positive,2
Trial rooms bright and clean 💯,Positive,2
"Parking ok, could improve",Neutral,1
"Parking ok, weekends a bit tough",Neutral,1
Gr8 service at billing counter,Positive,2
No sports bra options here,Negative,0
"Mens elastic ok, functional",Neutral,1
"Kids quality average, gets job done",Neutral,1
Kids sizing consistent and good,Positive,2
Kids innerwear soft and stretchy,Positive,2
Trial rooms ok overall,Neutral,1
"Parking ok, bit of walking",Neutral,1
"Fabric ok, expected better honestly",Neutral,1
Store very pleasant to shop,Positive,2
Mens stitching ok so far,Neutral,1
Cashier functional but not warm,Neutral,1
"Mens innerwear ok, not impressed",Neutral,1
"Stitching ok, not outstanding",Neutral,1
Store layout guides you easily,Positive,2
Cashier explained bill clearly,Positive,2
Billing just fine for visit,Neutral,1
Seating area is comfortable 👍,Positive,2
Kids stitching ok after wash,Neutral,1
Mens fabric not breathable at all,Negative,0
"Trial room ok, could be cleaner",Neutral,1
Very attentive staff today 😊,Positive,2
Need more branches statewide,Negative,0
No wheelchair access in store,Negative,0
Store space ok but bit cramped,Neutral,1
Kids waistband too tight 😠,Negative,0
Store emergency exit blocked 😞,Negative,0
"Manager okish, resolved eventually",Neutral,1
"Ambience ok, nothing special though",Neutral,1
"Colour options decent, bit repetitive",Neutral,1
Mens briefs ok for daily use,Neutral,1
Mens quality ok for price,Neutral,1
